name,center_f,drift (mhz/ms),tau_w_ms
M1,4458.212325,-1039.35942236111,0.490051165425196
M2,4427.438381,-740.578566487435,0.46946832107629
M3,4489.924477,-2823.77045263663,0.199548509475438
M4,4603.952181,-1104.75640273922,0.276067851240514
M5,4435.776195,-2111.81966525241,0.387392518920084
M6,4513.184394,-6051.04948993217,0.127170130769352
M7,4351.042566,-1019.97293528708,0.402867261296111
M8,4563.386812,-340.369797005867,0.716279446833237
M9,4438.617323,-191.720931428476,1.03268787548317
M10,4586.065119,-834.396381774995,0.488843113389724
M11,4511.888302,-1031.10209792899,0.412020981574607
M12,4404.976125,-1012.74863629527,0.29832193132875
M13,4594.331225,-915.460158541001,0.421983062519659
M14,4475.588989,-3452.88880944183,0.119888671062827
M15,4278.440753,-340.562719508006,0.510140033806404
M16,4363.171344,-1130.80401191399,0.483020527273281
M9a,4495.05220385889,-1512.194326,0.253660999235377
M9b,4442.11819904566,-1313.502712,0.408137163053418
M10a,4591.87629561161,-3227.866176,0.219197162528386
M10b,4499.02874914549,-15659.439219,0.090162911667724
G11A,6500,-785.4,0.369007212847016
G11D,6974.71793,-1701.392924,0.353627515996112
C1,630,-3.92,11.4
G11A1a,7201.52317381606,-6749.651926,0.140690603528215
G11A1b,7012.83792893271,-7336.763933,0.081069205341832
G11A2,6333.96204792903,-3929.513225,0.112588013997403
G11A3,5681.65287256402,-1636.407401,0.249588785661843
