filename,name,edge,angle,peak,sigmax,sigmay,Slope,drift (mhz/ms),drift error (mhz/ms),center,center_f,time_res,freq_res,sigmax_error,sigmay_error,angle_error,red_chisq,stale?
01_puppi_57747_C0531+33_0558_5.dm559.72.calibP.RM.DD.ASCII,M1,1525,1.72,10429,173.731526,47.3645867,-6.65243933731541,-1039.35942236111,0.190767006363213,228.755888,4458.212325,1.024E-05,1.5625,0.011140271750811,0.00300692022968,2.63773338704909E-05,9.73368324144103,
02_puppi_57747_C0531+33_0558_1183.dm559.72.calibP.RM.DD.ASCII,M2,1850,1.78,5692,177.0809181,44.91187541,-4.73686645043329,-740.578566487435,0.65231652600639,209.060564,4427.438381,1.024E-05,1.5625,0.081783518790606,0.020486065423307,0.000174092520796,3.81841296073064,
03_puppi_57747_C0531+33_0558_1202.dm559.72.calibP.RM.DD.ASCII,M3,1975,1.62,5668,169.74900115,19.46388493,-19.6695278205589,-2823.77045263663,2.62317449361419,249.051665,4489.924477,1.024E-05,1.5625,0.05282218584054,0.005949910896736,5.0052083779421E-05,4.0494446864157,
04_puppi_57747_C0531+33_0558_25437.dm559.72.calibP.RM.DD.ASCII,M4,1450,1.71,5038,160.36032904,26.70623146,-7.1372572038532,-1104.75640273922,21.7686126749352,322.029396,4603.952181,1.024E-05,1.5625,1.78014039047193,0.29280727035329,0.002672300623224,3.31884972095588,
05_puppi_57747_C0531+33_0558_3683.dm559.72.calibP.RM.DD.ASCII,M5,1450,1.6392036732051,5031,37.74738307,166.2804915,-14.5955034149705,-2111.81966525241,67.749908807746,214.396765,4435.776195,1.024E-05,1.5625,0.258021891652938,1.15394809134756,0.002305968472255,3.36071504895097,
06_puppi_57747_C0531+33_0558_3687.dm559.72.calibP.RM.DD.ASCII,M6,1150,1.59,5569,156.55770839,12.41668262,-52.066969650913,-6051.04948993217,11.2496344154371,263.938012,4513.184394,1.024E-05,1.5625,0.065384950724426,0.005173051208372,4.68512303037199E-05,6.71978766803164,
07_puppi_57747_C0531+33_0558_3688.dm559.72.calibP.RM.DD.ASCII,M7,1590,1.72,5821,102.25927184,38.96918373,-6.65243933731541,-1019.97293528708,0.845772138820436,160.167242,4351.042566,1.024E-05,1.5625,0.019954460634273,0.007547030399531,0.000121334342824,6.30270706697278,
08_puppi_57747_C0531+33_0558_3689.dm559.72.calibP.RM.DD.ASCII,M8,2000,1.99,5666,171.39539762,64.79272495,-2.24407578152674,-340.369797005867,0.06448979034795,296.06756,4563.386812,1.024E-05,1.5625,0.019619060650924,0.007369692849248,7.0725445847817E-05,6.14656959354947,
09_puppi_57747_C0531+33_0558_3690.dm559.72.calibP.RM.DD.ASCII,M9,1600,2.24,5041,133.024941,89.62803786,-1.26428829556331,-191.720931428476,5.29799943374996,216.215087,4438.617323,1.024E-05,1.5625,1.0387780669889,0.697558796933815,0.013464595590266,3.36141574025056,
10_puppi_57747_C0531+33_0558_12568.dm559.72.calibP.RM.DD.ASCII,M10,800,1.75,5132,130.60561575,47.07411294,-5.47068864295321,-834.396381774995,18.5692602792737,310.581676,4586.065119,1.024E-05,1.5625,0.887502493339353,0.318304313451253,0.003938060873976,3.3753813235316,"dont use, see 10a,b"
11_puppi_57748_C0531+33_0594_2.dm559.72.calibP.RM.DD.ASCII,M11,1800,1.72,5196,182.57011239,39.81075769,-6.65243933731541,-1031.10209792899,7.01136145957543,263.108513,4511.888302,1.024E-05,1.5625,0.564419720076775,0.121381505047307,0.000984715735467,3.36299756991479,
12_puppi_57748_C0531+33_0594_48.dm559.72.calibP.RM.DD.ASCII,M12,1000,1.7203,4672,137.48322035,28.82238584,-6.72528667594693,-1012.74863629527,1.10000093031162,194.68472,4404.976125,1.024E-05,1.5625,0.072777956116003,0.015012771729058,0.000160015218347,3.91570992831886,
13_puppi_57748_C0531+33_0594_49.dm559.72.calibP.RM.DD.ASCII,M13,1900,1.74,6789,141.35401376,40.66982088,-5.85352801269074,-915.460158541001,0.205960988743121,315.871984,4594.331225,1.024E-05,1.5625,0.011793922011855,0.003362069028785,3.64859110213552E-05,11.2387872128026,
14_puppi_57748_C0531+33_0594_50.dm559.72.calibP.RM.DD.ASCII,M14,1550,1.6153,5313,159.61307367,11.69634805,-20.9876682078846,-3452.88880944183,1.65526520739663,239.876953,4475.588989,1.024E-05,1.5625,0.033644288523012,0.002390803676153,2.11434168752223E-05,4.7445764665179,
15_puppi_57748_C0531+33_0594_1269.dm559.72.calibP.RM.DD.ASCII,M15,1550,2,5922,65.08197489,47.78921036,-2.18503986326152,-340.562719508006,0.235758326881321,113.702082,4278.440753,1.024E-05,1.5625,0.007892154169941,0.005713858072021,0.000258310411737,15.5554099285706,
16_puppi_57772_C0531+33_0007_2695.dm559.72.calibP.RM.DD.ASCII,M16,700,1.71,12309,124.668892,46.7781983,-7.1372572038532,-1130.80401191399,0.121827272379474,167.92966,4363.171344,1.024E-05,1.5625,0.002939457900256,0.001090528245414,1.42775387204873E-05,159.819921539892,
10_puppi_57747_C0531+33_0558_12568.dm559.72.calibP.RM.DD.ASCII,M10a,,1.618033,5.57454572,106.049519,21.383067,-21.154144,-3227.866176,235.93412,,,1.024E-05,1.5625,1.230755,0.24814,0.003448,0.525437,
10_puppi_57747_C0531+33_0558_12568.dm559.72.calibP.RM.DD.ASCII,M10b,,1.58054,3.8714316,169.899148,8.804555,-102.625701,-15659.439219,2430.074649,,,1.024E-05,1.5625,3.501261,0.18112,0.001512,0.421647,
gajjar/11A_16sec.calib.4p.RM.scr.ASCII,G11A,0,1.616,,651,9,,-785.4,0.276,,6500,4.0958926622802E-05,1.46484375,,,,1,yes old corr no chisq
