,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13.0,7.8321335554183324,0.22782954594991792,0.6264114066427839,0.6634855950154523,0.06394701561472378,0.0053877712793271694,0.31242086293808086,0.7399900509003015
14.0,12.563348859826565,0.11846018531659049,0.14401041587733335,0.17933679844005898,0.0510894074375911,0.008647543496988722,0.1422477585318446,0.45300264733115103
15.0,2.6094822887121127,0.14819914115541355,0.266786791771481,0.28949498705010174,0.09664307106509439,0.008081879594065712,0.3030873765000459,2.7670008064796794
15.5,5.6139279540041676,0.05649909049789522,0.07935640393830598,0.03242074513923959,0.09186120762532388,0.006139388111588829,0.13467868549242953,2.2112554224103724
16.0,13.705316683021064,0.07234225736382909,0.1228730888602423,0.05621341642247983,0.13103911597046639,0.02081729274444548,0.894369857155952,0.6096984466692423
18.0,35.50304413183048,0.0929855199337215,0.1780563904612542,0.19659468246630385,0.041242152667073324,0.00406669770660962,0.137545545526954,0.09465921908531197
19.0,24.39552780749255,0.1087642090364481,0.13772592041910717,0.16812863703637024,0.050307481257557615,0.008901673826283058,0.15664905147302008,0.43808279591514043
21.0,6.992080190838822,0.1457852525608849,0.17683464375753322,0.08144221601383939,0.2142218381528639,0.01406196468002712,0.24010259960632718,0.5131853009996379
23.0,55.16988712253663,0.058590811724909236,0.17328835568135229,0.1810191956718595,0.02633982339738939,0.0026878902110171357,0.20011295877784974,0.04390002569914682
24.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-8.979053035973815,0.8126366869133381
26.0,10.42005652642677,0.08210116505083291,0.20826214141256044,0.029931834801713547,0.22185087327962777,0.005479498875495726,0.28802644825656326,0.6160647687243255
29.0,4.513760802922631,0.19191898295904009,0.23779099724597139,0.28711237497904646,0.10461328271818335,0.018415775582816197,0.32331586103832205,0.6675097362919703
31.0,8.373864073877273,0.13681959355119458,0.5479055589962125,0.5621940982352622,0.05345945024473551,0.00568190521417037,0.7133145518806746,0.7774878125076495
32.0,4.4542745046764125,0.12391339878575633,0.2876236760262819,0.30543406799638606,0.06922388267466904,0.00946691833468118,0.5043534651832,0.5545117401532929
33.0,21.65498624258495,0.06923908221199258,0.15202655377899624,0.059487542709117526,0.15610046683356182,0.016799360047047445,1.771940524985286,0.5748747856862876
36.0,40.5716323112378,0.055276173024790834,0.18589244387932277,0.19272079186146734,0.02168313827180601,0.0021555085622335947,0.1943859085177066,0.09346757916929647
