,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13,8.2674404447998,0.583776135208056,0.472546224323694,0.749083516575397,0.054483011441596,0.004274551053466,0.044901718998524,0.756463576137709
14,12.3193943387556,0.147670390175786,0.144261388601407,0.200992784099362,0.047114662006333,0.006939405395066,0.086000950541579,0.452394942829598
15,0.682996023814882,0.091322312651056,0.068642753622574,0.111307952157598,0.025731944658539,0.002259713430496,0.021944916277422,2.84645552631145
15.5,7.58532349056369,0.065106000428559,0.091154274248311,0.107705232187996,0.030781098417769,0.006159504810644,0.126751953593851,1.984007758713
16,13.3317864949492,0.094651075231509,0.131998334203533,0.049493403938577,0.15470226131229,0.013973725874494,0.293217785698456,0.610129986378271
18,37.5661248445115,0.162574497967386,0.16866926367877,0.23211856732576,0.031634897651699,0.002547182338869,0.03367474365462,0.086458514873939
19,24.1100566323967,0.142689042186162,0.138976558064108,0.194308564366035,0.043804453004116,0.006401066609485,0.079090553742136,0.4331957247748
21,8.66309192787531,0.214587725381774,0.129289267520267,0.246369346853133,0.045450586095462,0.006011632331608,0.050949810874457,0.515085649271002
23,54.7320485683387,0.108514698053348,0.166753819252206,0.197389228158437,0.024895176113558,0.002318175663938,0.050657371511907,0.042021988461457
24,6.10264876043617,0.218554248352758,0.229930625707485,0.291335186375868,0.125530313581903,0.032456245137519,0.445595158811641,0.798643399050866
26,9.47929814510221,0.16616492724639,0.218424122371662,0.272520740977237,0.032439232064481,0.004985046236905,0.087372849448613,0.627084496284455
29,6.18605687241115,0.239525695252029,0.225365744310171,0.314729155707502,0.095434939806545,0.016538940352449,0.195961825443728,0.647407091434662
31,8.77406392924765,0.2829351913118,0.409243682215115,0.493793860442906,0.060830616757636,0.007760749427487,0.15518234836006,0.784349621558961
32,5.61368522985196,0.18787473685353,0.225806817408207,0.069726334992503,0.285349010152703,0.013781572834593,0.220405307084918,0.748326315879702
33,20.7817325906469,0.115019526360373,0.154902394257426,0.185299405956209,0.053743602476102,0.011732967056641,0.226834219451453,0.581661310146823
36,31.6075135792506,0.197637920172288,0.170065202217227,0.25987718767563,0.02113634469621,0.00158283608451,0.017484361445666,0.14470329019055
