,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
13,8.16211123040219,0.148366389064227,0.595043112384631,0.609376223203797,0.068917972285738,0.006611885912104,0.892689660030926,0.743294280767687
14,12.8317998574995,0.105779057655099,0.141835759736681,0.169202291528394,0.051741439565735,0.009381185211337,0.181874056085978,0.452591277122251
15,0.673025909846432,0.053166537567978,0.077169793386692,0.084931431343339,0.03960441386826,0.005911754242774,0.16863084273188,2.75538389559114
15.5,5.76983013904997,0.052325228102369,0.080040160742827,0.03324771558389,0.089660169303487,0.006650246737927,0.179573860526553,2.1901089829278
16,13.1106884374472,0.068336788702316,0.130050576136459,0.059108223407618,0.134496419749085,0.021424960409731,1.69040568666386,0.614139509968693
18,35.5444133473529,0.079225971528321,0.177045821660202,0.189343738109307,0.042082368878416,0.004332670755437,0.20835632691084,0.094758710841854
19,24.1168382475166,0.101968402491602,0.13867692777338,0.164135284254608,0.051850304309158,0.009500987749408,0.190066061266549,0.436230657447287
21,7.09894729414629,0.131003097968345,0.172663870987248,0.198969414595692,0.085940656145331,0.016915878696703,0.35434421917362,0.51490980074569
23,55.0829064582057,0.050208943851782,0.173788773095714,0.17896129777792,0.026388083886395,0.002728895149927,0.297919852311431,0.045614466358315
24,7.63386057374718,0.130135957447234,0.20399386954878,0.110528183683422,0.215249592372027,0.040604782155452,1.86639373657045,0.765406137383325
26,11.6261691143592,0.065161681017829,0.179499732994853,0.028330462323572,0.188848039852442,0.006138818184468,0.395131673256841,0.615552026514844
29,4.50908186851627,0.186708256776938,0.239246448542063,0.283594575447756,0.108041430489245,0.01964784146141,0.370399108198759,0.668394234492284
31,8.5330637844732,0.097448474289484,0.545474210571622,0.551503688024318,0.053684259515591,0.005929570891889,1.71718279221806,0.776745596714199
32,4.14510330780779,0.136433310127699,0.310980637782687,0.077943930757629,0.330526996324651,0.009427797945934,0.493129372846375,0.526596206583234
33,21.9351464603836,0.061895503420746,0.149716794396617,0.151064985202391,0.058528129314336,0.01688723092692,5.13419542844785,0.567839490122884
36,43.0795775790141,0.032903733909765,0.185537920023331,0.187371922228992,0.019968539260179,0.002037286627573,0.657302702521389,0.092094063242948
