,amp_error,xo_error,yo_error,sigmax_error,sigmay_error,angle_error,drift error (mhz/ms),red_chisq
12,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7344722156513883
13,2.9961323772270365,1.082706193450999,0.8016873802944808,0.8015803492750646,1.0839911315307145,0.12244181483512717,2629.2011019024058,0.7018860759982534
14,12.8314397269764,0.1418420126117644,0.10578112175932047,0.1692085153174845,0.05174244398800112,0.009380989145666173,0.18187109785550606,0.45259127717819814
15,2.158039286968071,0.07663738920264825,0.08303496517498336,0.03201928084964011,0.10836650794178733,0.002081735779893996,0.024164658601150767,6.770040369299462
16,145.46745091443847,0.033076104971542786,0.029790079485279834,0.01926546651202033,0.014638661680496391,0.041196707746518346,0.4294169443768396,0.39094477445637105
17,inf,inf,inf,inf,inf,inf,inf,
18,35.54604541794235,0.17703578549949542,0.07921812011729307,0.042081273325421754,0.18933131792363703,0.0043328605713973825,0.2083682692266844,0.09475871085760137
19,24.119052020686315,0.13867845399160247,0.10194427594564075,0.05184453219381199,0.16412341080533877,0.009500534810706405,0.1900838983550176,0.4362306571681869
20,5.16113549399727,0.016278038476591292,0.03307892352522398,0.015999646157932916,0.03321447026184407,0.0019904109510377878,0.012790250565802538,3.827791295241649
21,7.098775696371163,0.17267071748638405,0.13100465226921007,0.08594206002918078,0.19897577007312836,0.01691549278440682,0.3543487267039169,0.5149098001918853
22,3899.0942318051343,285083.61093427875,100293.08228552894,60222.2959132717,354.6720646009304,7.786311369871781,434.6761007412733,0.7288997860177151
23,55.08318031232473,0.17378692025811288,0.05020804453404257,0.026388125181712952,0.17895923822836188,0.0027289324027273895,0.2979238889939175,0.0456144663586568
24,3.7799183183098433,0.3830356202995436,0.23198434909519391,0.1502400623029923,0.4218541850100052,0.023875372482157042,0.7533688270072,5.85760992660784
26,41.133458135317184,0.07058891790844597,0.027025419400658775,0.03530202269833372,0.003891793249989815,0.006090083140189317,0.35842183217658047,0.3903242341275084
27,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7339266162176035
28,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7334934167918401
29,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7252212114393586
30,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7333988452989537
31,13.093235645583551,0.23511491403504964,0.061640907888164814,0.03982736354894377,0.2397757423795506,0.006461213302412176,1.037733902002172,0.6064845284076191
33,21.934282448169807,0.14972224308864385,0.06189790989589494,0.15107039681783274,0.05853064384020323,0.016887393899157024,5.134443003677564,0.5678394908541322
34,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7313423670601988
35,6.209587716518325,0.07303265436675242,0.18198169846895731,0.18403811191099811,0.06768368336046864,0.013243939476693596,0.08642373021815693,0.5178071468238461
36,43.078119912462874,0.18553747664219064,0.032905988157256746,0.18737173412306965,0.01996990590789108,0.0020374311214038285,0.6573413867979514,0.09209406323070866
37,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-21.778862131848403,0.7364252735975947
38,inf,inf,inf,inf,inf,inf,inf,
